Title,Language,Genres,Rating,Premiered,Status,Rating_Percent,Release_Year,Show_Age,Popularity,Main_Genre
Under the Dome,English,"Drama, Science-Fiction, Thriller",6.6,2013-06-24,Ended,66.0,2013,13,Medium,Drama
Person of Interest,English,"Action, Crime, Science-Fiction",8.8,2011-09-22,Ended,88.0,2011,15,High,Action
Bitten,English,"Drama, Horror, Romance",7.4,2014-01-11,Ended,74.0,2014,12,Medium,Drama
Arrow,English,"Drama, Action, Science-Fiction",7.4,2012-10-10,Ended,74.0,2012,14,Medium,Drama
True Detective,English,"Drama, Crime, Thriller",8.1,2014-01-12,Running,81.0,2014,12,High,Drama
The 100,English,"Action, Adventure, Science-Fiction",7.7,2014-03-19,Ended,77.0,2014,12,Medium,Action
Homeland,English,"Drama, Thriller, Espionage",8.2,2011-10-02,Ended,82.0,2011,15,High,Drama
Glee,English,"Drama, Music, Romance",6.6,2009-05-19,Ended,66.0,2009,17,Medium,Drama
Revenge,English,"Drama, Thriller, Mystery",7.7,2011-09-21,Ended,77.0,2011,15,Medium,Drama
Grimm,English,"Drama, Crime, Supernatural",8.4,2011-10-28,Ended,84.0,2011,15,High,Drama
Gotham,English,"Drama, Action, Crime",7.7,2014-09-22,Ended,77.0,2014,12,Medium,Drama
Lost Girl,English,"Drama, Fantasy, Horror",7.9,2010-09-12,Ended,79.0,2010,16,Medium,Drama
The Flash,English,"Drama, Action, Science-Fiction",7.5,2014-10-07,Ended,75.0,2014,12,Medium,Drama
Continuum,English,"Drama, Crime, Science-Fiction",8.0,2012-05-27,Ended,80.0,2012,14,High,Drama
Constantine,English,"Drama, Action, Horror",7.5,2014-10-24,Ended,75.0,2014,12,Medium,Drama
Penny Dreadful,English,"Horror, Thriller, Supernatural",8.2,2014-05-11,Ended,82.0,2014,12,High,Horror
The Amazing Race,English,"Action, Adventure, Family",6.8,2001-09-05,Running,68.0,2001,25,Medium,Action
Supernatural,English,"Drama, Action, Supernatural",8.3,2005-09-13,Ended,83.0,2005,21,High,Drama
The Strain,English,"Drama, Horror, Thriller",7.5,2014-07-13,Ended,75.0,2014,12,Medium,Drama
The Last Ship,English,"Drama, Action, Thriller",7.5,2014-06-22,Ended,75.0,2014,12,Medium,Drama
True Blood,English,"Drama, Romance, Supernatural",7.9,2008-09-07,Ended,79.0,2008,18,Medium,Drama
Once Upon a Time in Wonderland,English,"Drama, Adventure, Fantasy",6.8,2013-10-10,Ended,68.0,2013,13,Medium,Drama
Hawaii Five-0,English,"Drama, Action, Crime",7.7,2010-09-20,Ended,77.0,2010,16,Medium,Drama
Hellsing,Japanese,"Anime, Horror, Supernatural",7.3,2001-10-10,Ended,73.0,2001,25,Medium,Anime
Hellsing Ultimate,Japanese,"Drama, Action, Anime, Horror",7.6,2006-02-10,Ended,76.0,2006,20,Medium,Drama
Berserk,Japanese,"Anime, Fantasy, Horror",8.1,1997-10-07,Ended,81.0,1997,29,High,Anime
Californication,English,"Drama, Comedy",7.8,2007-08-13,Ended,78.0,2007,19,Medium,Drama
Vikings,English,"Drama, Action, History",8.6,2013-03-03,Ended,86.0,2013,13,High,Drama
American Horror Story,English,"Drama, Horror, Thriller",7.5,2011-10-05,Running,75.0,2011,15,Medium,Drama
Marvel's Agents of S.H.I.E.L.D.,English,"Action, Adventure, Science-Fiction",8.0,2013-09-24,Ended,80.0,2013,13,High,Action
Fargo,English,"Drama, Comedy, Crime",8.7,2014-04-15,To Be Determined,87.0,2014,12,High,Drama
Hemlock Grove,English,"Drama, Horror, Thriller",6.9,2013-04-19,Ended,69.0,2013,13,Medium,Drama
Helix,English,"Horror, Science-Fiction, Thriller",6.4,2014-01-10,Ended,64.0,2014,12,Medium,Horror
The Killing,English,"Drama, Crime, Thriller",8.2,2011-04-03,Ended,82.0,2011,15,High,Drama
Intruders,English,"Drama, Fantasy, Thriller",7.2,2014-08-23,Ended,72.0,2014,12,Medium,Drama
Z Nation,English,"Action, Horror, Science-Fiction",7.2,2014-09-12,Ended,72.0,2014,12,Medium,Action
Resurrection,English,"Drama, Science-Fiction, Mystery",7.1,2014-03-09,Ended,71.0,2014,12,Medium,Drama
Death Note,Japanese,"Anime, Fantasy, Thriller",8.8,2006-10-03,Ended,88.0,2006,20,High,Anime
Last Man Standing,English,"Comedy, Family",7.8,2011-10-11,Ended,78.0,2011,15,Medium,Comedy
Sleepy Hollow,English,"Drama, Mystery, Supernatural",7.5,2013-09-16,Ended,75.0,2013,13,Medium,Drama
Outlander,English,"Adventure, Romance, Science-Fiction",7.9,2014-08-09,Running,79.0,2014,12,Medium,Adventure
Scorpion,English,"Drama, Action, Thriller",7.3,2014-09-22,Ended,73.0,2014,12,Medium,Drama
NCIS: New Orleans,English,"Drama, Crime",7.5,2014-09-23,Ended,75.0,2014,12,Medium,Drama
Forever,English,"Drama, Crime, Supernatural",8.1,2014-09-22,Ended,81.0,2014,12,High,Drama
Witches of East End,English,"Drama, Fantasy, Romance",7.5,2013-10-06,Ended,75.0,2013,13,Medium,Drama
Madam Secretary,English,Drama,7.7,2014-09-21,Ended,77.0,2014,12,Medium,Drama
